Block,Trt,TotNo,NoD,%Mort,,
1,LB,12,6,50,,
1,LR,3,3,100,,
1,HR,12,6,50,,
1,HPS,14,5,36,,
1,S,10,6,60,,
1,HB,8,5,63,,
1,W,26,26,100,,
2,LB,14,8,57,,
2,LR,13,9,69,,
2,HR,13,9,69,,
2,HPS,12,9,75,,
2,S,20,7,35,,
2,HB,15,11,73,,
2,W,15,8,53,,
,,n,,AVG,StDev,SE
AVG,LB,26,,54,5.1,3.6
AVG,LR,16,,85,21.8,15.4
AVG,HR,25,,60,13.6,9.6
AVG,HPS,26,,55,27.8,19.6
AVG,S,30,,48,17.7,12.5
AVG,HB,23,,68,7.7,5.4
AVG,W,41,,77,33.0,23.3
