Block,Trt,Rep,Tibial Length (mm)
1,LB,1,0.54
1,LB,2,0.54
1,LB,3,0.56
1,LB,4,0.58
1,LB,5,0.46
1,LB,6,0.44
1,LB,7,0.52
1,HR,1,0.52
1,HR,2,0.58
1,HR,3,0.56
1,HR,4,0.58
1,HR,5,0.54
1,HR,6,0.62
1,HPS,1,0.56
1,HPS,2,0.46
1,HPS,3,0.54
1,HPS,4,0.5
1,HPS,5,0.5
1,HPS,6,0.56
1,HPS,7,0.52
1,HPS,8,0.46
1,HPS,9,0.54
1,S,1,0.6
1,S,2,0.54
1,S,3,0.48
1,S,4,0.38
1,HB,1,0.48
1,HB,2,0.6
1,HB,3,0.58
1,HB,4,0.52
1,HB,5,0.5
